Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_34_979.jpg;0;0;1;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_043.jpg;0;0;0;0;99.66999;85.58897;0.000235678;57.04942;-9.137394E-07
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_109.jpg;0;0;0;0;99.66999;85.58897;0.0002347569;57.04942;-1.186139E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_181.jpg;0;0;0;0;99.66999;85.58897;0.0002345861;57.04942;-1.737471E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_247.jpg;0;0;0;0;99.66999;85.58897;0.0002342675;57.04942;-2.165557E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_314.jpg;0;0;0;0;99.66999;85.58897;0.0002341083;57.04942;-2.379599E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_382.jpg;0;0;0;0;99.66999;85.58897;0.0002342827;57.04942;-2.216729E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_442.jpg;0;0;0;0;99.66999;85.58897;0.0002341955;57.04942;-2.298158E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_510.jpg;0;0;0;0;99.66999;85.58897;0.0002340931;57.04942;-2.328427E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_581.jpg;0;0;0;0;99.66999;85.58897;0.000234078;57.04942;-2.277262E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_647.jpg;0;0;0;0;99.66999;85.58897;0.0002341955;57.04942;-2.298158E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_715.jpg;0;0;0;0;99.66999;85.58897;0.0002341652;57.04942;-2.19582E-06
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_35_781.jpg;0.02904899;0;0;0;99.66999;85.58897;0.0002356092;57.17397;-2.246764E-06
